78.03,8.81,0.749,1707805638
68.54,7.93,0.586,1707805639
60.99,8.64,0.79,1707805640
79.91,10.1,0.395,1707805641
73.78,7.66,0.659,1707805642
69.44,9.15,0.244,1707805643
74.95,10.52,0.371,1707805644
102.01,9.54,0.534,1707805645
63.04,8.66,0.672,1707805646
80.4,8.57,0.695,1707805647
54.51,6.79,0.521,1707805648
57.58,7.76,0.635,1707805649
70.04,10.26,0.395,1707805650
71.27,8.58,0.242,1707805651
69.58,4.89,0.894,1707805652
73.19,8.32,0.295,1707805653
72.67,10.05,0.693,1707805654
57.89,6.0,0.425,1707805655
68.3,10.32,0.417,1707805656
82.77,7.14,0.333,1707805657
60.08,7.78,0.263,1707805658
55.21,7.02,0.783,1707805659
51.64,7.83,0.547,1707805660
90.64,5.79,0.248,1707805661
67.47,10.34,0.807,1707805662
90.35,8.18,0.27,1707805663
60.03,6.58,0.603,1707805664
58.79,9.48,0.898,1707805665
86.13,5.75,0.548,1707805666
59.27,11.09,0.567,1707805667
82.27,7.02,0.429,1707805668
68.84,11.19,0.317,1707805669
65.41,9.39,0.174,1707805670
69.51,6.72,0.558,1707805671
67.77,8.53,0.487,1707805672
60.27,8.47,0.406,1707805673
84.75,3.53,0.402,1707805674
67.86,5.92,0.7,1707805675
79.72,6.4,0.345,1707805676
58.16,11.62,0.859,1707805677
75.95,10.12,0.413,1707805678
64.42,6.39,0.306,1707805679
57.27,8.31,0.805,1707805680
66.28,4.71,0.764,1707805681
74.2,7.96,0.839,1707805682
53.98,5.05,0.449,1707805683
67.21,8.14,0.198,1707805684
67.01,6.72,0.152,1707805685
80.86,6.01,0.684,1707805686
85.23,3.38,0.898,1707805687
57.76,7.26,0.271,1707805688
69.28,7.27,0.796,1707805689
83.12,4.92,0.604,1707805690
62.42,8.4,0.677,1707805691
84.07,1.59,0.302,1707805692
80.67,8.13,0.323,1707805693
85.02,4.11,0.104,1707805694
61.84,7.7,0.395,1707805695
95.8,12.08,0.169,1707805696
63.85,6.9,0.888,1707805697
72.34,3.34,0.744,1707805698
73.12,7.77,0.153,1707805699
70.64,6.97,0.678,1707805700
60.4,6.09,0.318,1707805701
78.81,6.73,0.489,1707805702
60.66,5.96,0.447,1707805703
66.54,6.62,0.337,1707805704
59.41,11.12,0.451,1707805705
55.94,4.6,0.391,1707805706
69.93,7.62,0.693,1707805707
72.42,5.69,0.696,1707805708
64.6,7.41,0.652,1707805709
62.75,9.51,0.741,1707805710
94.78,8.94,0.594,1707805711
64.2,8.41,0.852,1707805712
78.98,10.23,0.16,1707805713
54.28,5.24,0.794,1707805714
69.04,3.88,0.322,1707805715
63.67,7.32,0.573,1707805716
75.13,4.51,0.615,1707805717
71.35,5.68,0.821,1707805718
67.16,3.51,0.206,1707805719
88.59,4.51,0.445,1707805720
82.63,8.8,0.822,1707805721
58.49,5.77,0.484,1707805722
74.04,6.75,0.323,1707805723
68.0,9.22,0.518,1707805724
61.2,6.51,0.329,1707805725
54.3,8.13,0.42,1707805726
47.17,5.16,0.182,1707805727
87.15,9.12,0.849,1707805728
63.88,7.31,0.197,1707805729
47.34,8.82,0.413,1707805730
74.2,7.73,0.589,1707805731
85.65,7.56,0.423,1707805732
78.21,4.77,0.171,1707805733
86.85,11.09,0.103,1707805734
61.5,4.44,0.556,1707805735
79.37,9.4,0.398,1707805736
80.57,8.09,0.632,1707805737
